,main_speaker,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
140,Maira Kalman,38.666666666666664,29.75,30.5,65.5,57.583333333333336,51.333333333333336,41.333333333333336,27.666666666666668,24.916666666666668,22.25,18.0,18.833333333333332
141,Jan Chipchase,8.833333333333334,13.166666666666666,14.75,9.75,9.083333333333334,5.75,4.5,5.25,4.833333333333333,3.1666666666666665,2.1666666666666665,4.25
142,VS Ramachandran,27.5,20.916666666666668,19.5,19.75,31.916666666666668,48.083333333333336,36.833333333333336,25.25,21.5,21.666666666666668,18.166666666666668,17.916666666666668
143,Eleni Gabre-Madhin,6.75,7.0,6.5,14.25,4.833333333333333,5.0,6.333333333333333,5.083333333333333,4.083333333333333,3.0833333333333335,2.3333333333333335,2.3333333333333335
144,Sherwin Nuland,7.083333333333333,7.75,4.333333333333333,5.583333333333333,3.6666666666666665,3.1666666666666665,2.6666666666666665,3.0833333333333335,5.916666666666667,3.0833333333333335,2.0833333333333335,1.9166666666666667
145,Matthieu Ricard,13.083333333333334,28.833333333333332,33.416666666666664,26.583333333333332,36.0,33.666666666666664,31.833333333333332,41.333333333333336,42.25,50.416666666666664,42.333333333333336,33.666666666666664
146,Lawrence Lessig,40.833333333333336,32.333333333333336,39.666666666666664,29.75,25.583333333333332,27.666666666666668,21.166666666666668,19.583333333333332,19.416666666666668,33.416666666666664,14.333333333333334,8.333333333333334
147,Paul Rothemund,7.166666666666667,3.8333333333333335,3.25,2.6666666666666665,1.0,1.1666666666666667,0.9166666666666666,0.5833333333333334,0.3333333333333333,0.5,0.4166666666666667,0.25
148,David Keith,54.0,48.583333333333336,44.166666666666664,51.166666666666664,43.916666666666664,39.25,36.5,42.916666666666664,36.75,37.416666666666664,33.083333333333336,33.5
149,Robert Full,9.333333333333334,9.333333333333334,12.583333333333334,22.583333333333332,20.25,16.916666666666668,18.833333333333332,22.25,23.333333333333332,23.083333333333332,23.166666666666668,21.666666666666668
